Par,Data,ExcRet252,SpreadNivelBps
CDI,2009-01-05,,188
CDI,2009-01-06,,194
CDI,2009-01-07,,199
CDI,2009-01-08,,200
CDI,2009-01-09,,201
CDI,2009-01-12,,202
CDI,2009-01-13,,203
CDI,2009-01-14,,204
CDI,2009-01-15,,205
CDI,2009-01-16,,205
CDI,2009-01-19,,205
CDI,2009-01-20,,205
CDI,2009-01-21,,205
CDI,2009-01-22,,205
CDI,2009-01-23,,206
CDI,2009-01-26,,207
CDI,2009-01-27,,206
CDI,2009-01-28,,207
CDI,2009-01-29,,209
CDI,2009-01-30,,209
CDI,2009-02-02,,209
CDI,2009-02-03,,209
CDI,2009-02-04,,211
CDI,2009-02-05,,211
CDI,2009-02-06,,210
CDI,2009-02-09,,211
CDI,2009-02-10,,212
CDI,2009-02-11,,211
CDI,2009-02-12,,213
CDI,2009-02-13,,212
CDI,2009-02-16,,212
CDI,2009-02-17,,211
CDI,2009-02-18,,211
CDI,2009-02-19,,210
CDI,2009-02-20,,210
CDI,2009-02-25,,210
CDI,2009-02-26,,209
CDI,2009-02-27,,207
CDI,2009-03-02,,207
CDI,2009-03-03,,206
CDI,2009-03-04,,206
CDI,2009-03-05,,205
CDI,2009-03-06,,203
CDI,2009-03-09,,201
CDI,2009-03-10,,201
CDI,2009-03-11,,202
CDI,2009-03-12,,202
CDI,2009-03-13,,201
CDI,2009-03-16,,202
CDI,2009-03-17,,201
CDI,2009-03-18,,200
CDI,2009-03-19,,200
CDI,2009-03-20,,199
CDI,2009-03-23,,200
CDI,2009-03-24,,201
CDI,2009-03-25,,201
CDI,2009-03-26,,200
CDI,2009-03-27,,201
CDI,2009-03-30,,200
CDI,2009-03-31,,199
CDI,2009-04-01,,200
CDI,2009-04-02,,200
CDI,2009-04-03,,201
CDI,2009-04-06,,201
CDI,2009-04-07,,202
CDI,2009-04-08,,202
CDI,2009-04-09,,203
CDI,2009-04-13,,203
CDI,2009-04-14,,201
CDI,2009-04-15,,201
CDI,2009-04-16,,200
CDI,2009-04-17,,201
CDI,2009-04-20,,200
CDI,2009-04-22,,200
CDI,2009-04-23,,200
CDI,2009-04-24,,200
CDI,2009-04-27,,201
CDI,2009-04-28,,200
CDI,2009-04-29,,199
CDI,2009-04-30,,199
CDI,2009-05-04,,198
CDI,2009-05-05,,198
CDI,2009-05-06,,198
CDI,2009-05-07,,198
CDI,2009-05-08,,198
CDI,2009-05-11,,198
CDI,2009-05-12,,198
CDI,2009-05-13,,198
CDI,2009-05-14,,197
CDI,2009-05-15,,197
CDI,2009-05-18,,197
CDI,2009-05-19,,197
CDI,2009-05-20,,197
CDI,2009-05-21,,198
CDI,2009-05-22,,197
CDI,2009-05-25,,197
CDI,2009-05-26,,196
CDI,2009-05-27,,197
CDI,2009-05-28,,196
CDI,2009-05-29,,194
CDI,2009-06-01,,193
CDI,2009-06-02,,192
CDI,2009-06-03,,191
CDI,2009-06-04,,190
CDI,2009-06-05,,190
CDI,2009-06-08,,190
CDI,2009-06-09,,191
CDI,2009-06-10,,191
CDI,2009-06-12,,190
CDI,2009-06-15,,190
CDI,2009-06-16,,190
CDI,2009-06-17,,190
CDI,2009-06-18,,191
CDI,2009-06-19,,192
CDI,2009-06-22,,192
CDI,2009-06-23,,191
CDI,2009-06-24,,190
CDI,2009-06-25,,191
CDI,2009-06-26,,190
CDI,2009-06-29,,191
CDI,2009-06-30,,192
CDI,2009-07-01,,191
CDI,2009-07-02,,190
CDI,2009-07-03,,190
CDI,2009-07-06,,188
CDI,2009-07-07,,186
CDI,2009-07-08,,183
CDI,2009-07-09,,183
CDI,2009-07-10,,178
CDI,2009-07-13,,177
CDI,2009-07-14,,176
CDI,2009-07-15,,174
CDI,2009-07-16,,174
CDI,2009-07-17,,173
CDI,2009-07-20,,174
CDI,2009-07-21,,171
CDI,2009-07-22,,170
CDI,2009-07-23,,169
CDI,2009-07-24,,169
CDI,2009-07-27,,168
CDI,2009-07-28,,167
CDI,2009-07-29,,167
CDI,2009-07-30,,167
CDI,2009-07-31,,164
CDI,2009-08-03,,163
CDI,2009-08-04,,162
CDI,2009-08-05,,164
CDI,2009-08-06,,164
CDI,2009-08-07,,164
CDI,2009-08-10,,164
CDI,2009-08-11,,164
CDI,2009-08-12,,164
CDI,2009-08-13,,163
CDI,2009-08-14,,162
CDI,2009-08-17,,162
CDI,2009-08-18,,164
CDI,2009-08-19,,164
CDI,2009-08-20,,162
CDI,2009-08-21,,162
CDI,2009-08-24,,162
CDI,2009-08-25,,162
CDI,2009-08-26,,163
CDI,2009-08-27,,162
CDI,2009-08-28,,161
CDI,2009-08-31,,160
CDI,2009-09-01,,159
CDI,2009-09-02,,159
CDI,2009-09-03,,159
CDI,2009-09-04,,159
CDI,2009-09-08,,158
CDI,2009-09-09,,158
CDI,2009-09-10,,158
CDI,2009-09-11,,158
CDI,2009-09-14,,158
CDI,2009-09-15,,158
CDI,2009-09-16,,158
CDI,2009-09-17,,158
CDI,2009-09-18,,158
CDI,2009-09-21,,157
CDI,2009-09-22,,156
CDI,2009-09-23,,156
CDI,2009-09-24,,156
CDI,2009-09-25,,157
CDI,2009-09-28,,156
CDI,2009-09-29,,156
CDI,2009-09-30,,155
CDI,2009-10-01,,154
CDI,2009-10-02,,154
CDI,2009-10-05,,154
CDI,2009-10-06,,155
CDI,2009-10-07,,154
CDI,2009-10-08,,154
CDI,2009-10-09,,153
CDI,2009-10-13,,153
CDI,2009-10-14,,152
CDI,2009-10-15,,153
CDI,2009-10-16,,153
CDI,2009-10-19,,153
CDI,2009-10-20,,152
CDI,2009-10-21,,152
CDI,2009-10-22,,152
CDI,2009-10-23,,152
CDI,2009-10-26,,153
CDI,2009-10-27,,152
CDI,2009-10-28,,149
CDI,2009-10-29,,146
CDI,2009-10-30,,145
CDI,2009-11-03,,143
CDI,2009-11-04,,142
CDI,2009-11-05,,142
CDI,2009-11-06,,143
CDI,2009-11-09,,143
CDI,2009-11-10,,144
CDI,2009-11-11,,143
CDI,2009-11-12,,144
CDI,2009-11-13,,145
CDI,2009-11-16,,144
CDI,2009-11-17,,143
CDI,2009-11-18,,143
CDI,2009-11-19,,144
CDI,2009-11-20,,144
CDI,2009-11-23,,144
CDI,2009-11-24,,143
CDI,2009-11-25,,143
CDI,2009-11-26,,142
CDI,2009-11-27,,142
CDI,2009-11-30,,141
CDI,2009-12-01,,140
CDI,2009-12-02,,140
CDI,2009-12-03,,139
CDI,2009-12-04,,138
CDI,2009-12-07,,138
CDI,2009-12-08,,137
CDI,2009-12-09,,136
CDI,2009-12-10,,136
CDI,2009-12-11,,135
CDI,2009-12-14,,134
CDI,2009-12-15,,134
CDI,2009-12-16,,134
CDI,2009-12-17,,133
CDI,2009-12-18,,133
CDI,2009-12-21,,132
CDI,2009-12-22,,132
CDI,2009-12-23,,131
CDI,2009-12-24,,131
CDI,2009-12-28,,130
CDI,2009-12-29,,131
CDI,2009-12-30,,131
CDI,2009-12-31,,131
CDI,2010-01-04,,131
CDI,2010-01-05,,131
CDI,2010-01-06,,130
CDI,2010-01-07,2.902,131
CDI,2010-01-08,3.017,131
CDI,2010-01-11,3.122,130
CDI,2010-01-12,3.164,130
CDI,2010-01-13,3.189,130
CDI,2010-01-14,3.208,130
CDI,2010-01-15,3.230,129
CDI,2010-01-18,3.243,129
CDI,2010-01-19,3.259,129
CDI,2010-01-20,3.266,129
CDI,2010-01-21,3.262,129
CDI,2010-01-22,3.270,129
CDI,2010-01-25,3.261,129
CDI,2010-01-26,3.268,128
CDI,2010-01-27,3.280,128
CDI,2010-01-28,3.299,128
CDI,2010-01-29,3.283,128
CDI,2010-02-01,3.294,128
CDI,2010-02-02,3.346,128
CDI,2010-02-03,3.342,128
CDI,2010-02-04,3.323,128
