Data,Ativo,Indexador,DurationAnos,VolMercado,PU_mid,Taxa_mid,RefSpread,Spread,SpreadFmt
2025-07-31,TRPLA7,IPCA_SPREAD,9.37,314391,1055.0021,7.1121,B40,-8,B40 −8bps
2025-07-31,EGIEB5,IPCA_SPREAD,6.13,1170620,975.5168,7.3050,B35,-7,B35 −7bps
2025-07-31,IRJS15,IPCA_SPREAD,6.57,72138,1060.8536,,,,
2025-07-31,EGIEA5,PREFIXADO,4.70,255505,1005.9238,12.8865,DI,-1.0035,DI −1.00%
2025-07-31,VAMO34,IPCA_SPREAD,3.43,3092,1030.7611,12.6250,B30,476,B30 +476bps
2025-07-31,VBRR11,IPCA_SPREAD,2.48,2229,1114.4813,10.6950,B29,280,B29 +280bps
2025-07-31,ENAT33,IPCA_SPREAD,5.24,10057,1005.7416,,,,
2025-07-31,PETR16,,0.32,40637,1401.2596,9.5430,,,
2025-07-31,ETEN31,,0.26,150085,1457.1363,9.6250,,,
2025-07-31,BRST11,IPCA_SPREAD,0.81,19349,1074.9284,9.8907,B27,-26,B27 −26bps
2025-07-31,ENTV12,IPCA_SPREAD,2.25,128031,1376.6737,,,,
2025-07-31,RISP14,IPCA_SPREAD,4.32,11464,1.0346,8.5669,B31,70,B31 +70bps
2025-07-31,SUMI17,IPCA_SPREAD,3.70,80746,972.8390,9.7262,B30,186,B30 +186bps
2025-07-31,TEPA23,PREFIXADO,3.22,224466,1133.6688,16.1473,DI,2.2573,DI +2.26%
2025-07-31,ANHBB6,IPCA_SPREAD,6.64,11845013,987.0845,7.2561,B35,-11,B35 −11bps
2025-07-31,PEJA11,IPCA_SPREAD,2.94,37804,1181.3885,7.3949,B29,-51,B29 −51bps
2025-07-31,NTEN11,IPCA_SPREAD,1.85,132760,1115.6323,10.9951,B28,310,B28 +310bps
2025-07-31,ASAIA1,DI_SPREAD,2.13,31852417,1057.7981,1.0917,CDI,1.0917,CDI +1.09%
2025-07-31,CPLDC0,IPCA_SPREAD,6.55,325880,984.5322,7.2625,B35,-11,B35 −11bps
2025-07-31,RSAN16,IPCA_SPREAD,5.40,352381,1039.4724,7.5989,B33,-17,B33 −17bps
2025-07-31,AMBP16,DI_SPREAD,2.61,3001561,871.7866,11.9001,CDI,11.9001,CDI +11.90%
2025-07-31,VLIM27,IPCA_SPREAD,7.28,995114,995.1143,7.3095,B37,-6,B37 −6bps
2025-07-31,SULA29,,2.29,74920,1055.2099,,,,
2025-07-31,IOCHA4,DI_SPREAD,1.46,11521388,1050.9339,1.1449,CDI,1.1449,CDI +1.14%
2025-07-31,BRKMB6,DI_SPREAD,4.75,23935,772.0947,10.5000,CDI,10.5,CDI +10.50%
2025-07-31,PETR38,IPCA_SPREAD,10.40,215483,1061.4904,6.3598,B45,-86,B45 −86bps
2025-07-31,PFOR16,DI_SPREAD,2.75,6082,1013.5875,1.2451,CDI,1.2451,CDI +1.25%
2025-07-31,CSNAA1,DI_SPREAD,1.47,35384,956.3116,5.3050,CDI,5.305,CDI +5.31%
2025-07-31,TBLE26,,0.67,49233,507.5573,9.2150,,,
2025-07-31,PETR28,IPCA_SPREAD,8.66,96341,1035.9294,6.3626,B40,-83,B40 −83bps
2025-07-31,VALEB0,IPCA_SPREAD,7.40,101573,1058.0532,6.4904,B37,-88,B37 −88bps
2025-07-31,PEJA12,PREFIXADO,2.48,49792,995.8378,13.1100,DI,-0.41,DI −0.41%
2025-07-31,JALL11,IPCA_SPREAD,2.21,6779,1129.9155,7.9200,B29,2,B29 +2bps
2025-07-31,TRPLB7,IPCA_SPREAD,8.21,108226,1071.5447,6.5242,B37,-85,B37 −85bps
2025-07-31,SBSPF3,IPCA_SPREAD,8.16,1462481,1097.9587,7.0232,B37,-35,B37 −35bps
2025-07-31,CPLD26,IPCA_SPREAD,3.47,3383,1127.6047,,,,
2025-07-31,ENAT32,PREFIXADO,2.48,306587,1021.9554,,,,
2025-07-31,CSRNB2,IPCA_SPREAD,5.29,15987,999.1898,7.6215,B33,-15,B33 −15bps
2025-07-31,PETR26,IPCA_SPREAD,2.31,29847,1297.6795,7.5310,B29,-37,B29 −37bps
2025-07-31,ENEV19,IPCA_SPREAD,4.21,2239,1119.5987,7.9900,B31,12,B31 +12bps
2025-07-31,CHSF13,IPCA_SPREAD,4.13,28451,1016.0987,7.8301,B31,-4,B31 −4bps
2025-07-31,MRSAB3,IPCA_SPREAD,8.60,2225560,967.6346,7.2881,B40,10,B40 +10bps
2025-07-31,RESA27,IPCA_SPREAD,4.64,536822,1086.6846,7.9450,B32,18,B32 +18bps
2025-07-31,COLNA3,DI_SPREAD,3.15,9973248,994.7384,1.0050,CDI,1.005,CDI +1.01%
2025-07-31,UQFN15,DI_SPREAD,2.93,517042,1023.8459,1.1934,CDI,1.1934,CDI +1.19%
2025-07-31,EEELA0,IPCA_SPREAD,5.06,2136,1067.9874,6.8950,B32,-87,B32 −87bps
2025-07-31,ENMTA7,IPCA_SPREAD,3.48,1043435,1043.4350,7.5850,B30,-28,B30 −28bps
2025-07-31,EQPA18,IPCA_SPREAD,6.44,23347,1061.2295,7.5261,B35,16,B35 +16bps
2025-07-31,SUZBA0,IPCA_SPREAD,7.82,4155,1038.7771,7.1551,B37,-21,B37 −21bps
2025-07-31,BTEL13,PREFIXADO,3.61,19288,1071.5558,13.9900,DI,0.1,DI +0.10%
2025-07-31,ELET16,IPCA_SPREAD,6.12,43928,1098.1910,6.5100,B35,-86,B35 −86bps
2025-07-31,VALEB1,IPCA_SPREAD,4.76,200603,1008.0547,7.0101,B32,-76,B32 −76bps
